Date,Depth,TEMP
2017-06-06,0,20
2017-06-06,1,19.8
2017-06-06,2,19.7
2017-06-06,3,19.7
2017-06-06,4,19.7
2017-06-06,5,19.7
2017-06-06,6,19.7
2017-06-06,7,19.7
2017-06-06,8,21.6
2017-06-06,9,22.4
2017-06-06,10,22.1
2017-06-06,11,21.2
2017-06-06,12,20.6
2017-06-07,0,28.9
2017-06-07,1,28.6
2017-06-07,2,27.4
2017-06-07,3,26.5
2017-06-07,4,25.9
2017-06-07,5,25.6
2017-06-07,6,25.6
2017-06-07,7,24.4
2017-06-07,8,22.7
2017-06-07,9,21.6
2017-06-07,10,20.7
2017-06-07,11,20.4
2017-06-07,12,20.2
2017-06-08,0,26
2017-06-08,1,25.6
2017-06-08,2,25.5
2017-06-08,3,25.4
2017-06-08,4,25.4
2017-06-08,5,25.3
2017-06-08,6,25.3
2017-06-08,7,24.2
2017-06-08,8,22.7
2017-06-08,9,21.5
2017-06-08,10,20.7
2017-06-08,11,20.3
2017-06-09,0,20.3
2017-06-09,1,20.2
2017-06-09,2,20.1
2017-06-09,3,20.1
2017-06-09,4,20.1
2017-06-09,5,21.6
2017-06-09,6,22
2017-06-09,7,21.8
2017-06-09,8,21.4
2017-06-09,9,21.1
2017-06-09,10,20.9
2017-06-09,11,20.6
2017-06-10,0,17.25
2017-06-10,1,17
2017-06-10,2,17
2017-06-10,3,17
2017-06-10,4,17
2017-06-10,5,18
2017-06-10,6,18
2017-06-10,7,18
2017-06-10,8,19
2017-06-10,9,19
2017-06-10,10,19
2017-06-10,11,19.339
2017-06-10,12,20
2017-06-11,0,18.184
2017-06-11,1,18.17
2017-06-11,2,18.145
2017-06-11,3,17.317
2017-06-11,4,17.824
2017-06-11,5,18.284
2017-06-11,6,18.432
2017-06-11,7,18.409
2017-06-11,8,18.383
2017-06-11,9,18.327
2017-06-11,10,18.238
2017-06-11,11,18.268
2017-06-11,12,18.35
2017-06-11,13,18.35
