Date,Depth,TEMP,DO,TP,PO4,NH4
23/01/2002,0,21.20000076,9,9,9,21.20000076
23/01/2002,2,21,9.100000381,9.100000381,9.100000381,21
23/01/2002,4,20.60000038,9.199999809,9.199999809,9.199999809,20.60000038
23/01/2002,6,20.29999924,9.199999809,9.199999809,9.199999809,20.29999924
23/01/2002,8,20,9,9,9,20
23/01/2002,10,19.20000076,8.399999619,8.399999619,8.399999619,19.20000076
23/01/2002,12,17,7.300000191,7.300000191,7.300000191,17
23/01/2002,14,13.30000019,6.400000095,6.400000095,6.400000095,13.30000019
23/01/2002,16,11.69999981,5.699999809,5.699999809,5.699999809,11.69999981
23/01/2002,18,11.10000038,5.400000095,5.400000095,5.400000095,11.10000038
23/01/2002,20,10.69999981,5.099999905,5.099999905,5.099999905,10.69999981
23/01/2002,22,10.69999981,4.800000191,4.800000191,4.800000191,10.69999981
23/01/2002,24,10.39999962,4.300000191,4.300000191,4.300000191,10.39999962
23/01/2002,26,10.30000019,4,4,4,10.30000019
23/01/2002,28,10.30000019,3.900000095,3.900000095,3.900000095,10.30000019
23/01/2002,30,10.19999981,3.799999952,3.799999952,3.799999952,10.19999981
13/02/2002,0,20.60000038,9.199999809,9.199999809,9.199999809,20.60000038
13/02/2002,2,20.60000038,9.199999809,9.199999809,9.199999809,20.60000038
13/02/2002,4,20.60000038,9.199999809,9.199999809,9.199999809,20.60000038
13/02/2002,6,20.60000038,9.300000191,9.300000191,9.300000191,20.60000038
13/02/2002,8,20.60000038,9.300000191,9.300000191,9.300000191,20.60000038
13/02/2002,10,20.5,9.199999809,9.199999809,9.199999809,20.5
13/02/2002,12,20.10000038,8.5,8.5,8.5,20.10000038
13/02/2002,14,14.10000038,6.800000191,6.800000191,6.800000191,14.10000038
13/02/2002,16,12.60000038,5.699999809,5.699999809,5.699999809,12.60000038
13/02/2002,18,11.19999981,4.900000095,4.900000095,4.900000095,11.19999981
13/02/2002,20,10.69999981,4.599999905,4.599999905,4.599999905,10.69999981
13/02/2002,22,10.5,4.099999905,4.099999905,4.099999905,10.5
13/02/2002,24,10.39999962,3.799999952,3.799999952,3.799999952,10.39999962
13/02/2002,26,10.30000019,3.599999905,3.599999905,3.599999905,10.30000019
13/02/2002,28,10.19999981,2.5,2.5,2.5,10.19999981
13/02/2002,30,10.19999981,2.099999905,2.099999905,2.099999905,10.19999981
20/03/2002,0,18.79999924,9.199999809,9.199999809,9.199999809,18.79999924
20/03/2002,2,18.79999924,9.199999809,9.199999809,9.199999809,18.79999924
20/03/2002,4,18.70000076,9.300000191,9.300000191,9.300000191,18.70000076
20/03/2002,6,18.60000038,9.300000191,9.300000191,9.300000191,18.60000038
20/03/2002,8,18.60000038,9.300000191,9.300000191,9.300000191,18.60000038
20/03/2002,10,18.5,9.100000381,9.100000381,9.100000381,18.5
20/03/2002,12,18.39999962,8.800000191,8.800000191,8.800000191,18.39999962
20/03/2002,14,17.39999962,7.300000191,7.300000191,7.300000191,17.39999962
20/03/2002,16,13.30000019,4.099999905,4.099999905,4.099999905,13.30000019
20/03/2002,18,11.60000038,3.900000095,3.900000095,3.900000095,11.60000038
20/03/2002,20,11,3.400000095,3.400000095,3.400000095,11
20/03/2002,22,10.60000038,2.700000048,2.700000048,2.700000048,10.60000038
20/03/2002,24,10.5,2.599999905,2.599999905,2.599999905,10.5
20/03/2002,26,10.39999962,2.099999905,2.099999905,2.099999905,10.39999962
20/03/2002,28,10.30000019,1.600000024,1.600000024,1.600000024,10.30000019
20/03/2002,30,10.30000019,0.800000012,0.800000012,0.800000012,10.30000019
17/04/2002,0,17.10000038,9.600000381,9.600000381,9.600000381,17.10000038
17/04/2002,2,16.79999924,9.600000381,9.600000381,9.600000381,16.79999924
17/04/2002,4,16.79999924,9.5,9.5,9.5,16.79999924
17/04/2002,6,16.79999924,9.5,9.5,9.5,16.79999924
17/04/2002,8,16.70000076,9.5,9.5,9.5,16.70000076
17/04/2002,10,16.70000076,9.399999619,9.399999619,9.399999619,16.70000076
17/04/2002,12,16.60000038,9.100000381,9.100000381,9.100000381,16.60000038
17/04/2002,14,16.20000076,8.300000191,8.300000191,8.300000191,16.20000076
17/04/2002,16,14,4.199999809,4.199999809,4.199999809,14
17/04/2002,18,11.60000038,2.900000095,2.900000095,2.900000095,11.60000038
17/04/2002,20,11,2.200000048,2.200000048,2.200000048,11
17/04/2002,22,10.69999981,2,2,2,10.69999981
17/04/2002,24,10.5,1.600000024,1.600000024,1.600000024,10.5
17/04/2002,26,10.39999962,0.800000012,0.800000012,0.800000012,10.39999962
17/04/2002,28,10.30000019,0.400000006,0.400000006,0.400000006,10.30000019
23/05/2002,0,13.89999962,9.899999619,9.899999619,9.899999619,13.89999962
23/05/2002,2,13.89999962,9.899999619,9.899999619,9.899999619,13.89999962
23/05/2002,4,13.89999962,9.899999619,9.899999619,9.899999619,13.89999962
23/05/2002,6,13.89999962,9.899999619,9.899999619,9.899999619,13.89999962
23/05/2002,8,13.89999962,9.899999619,9.899999619,9.899999619,13.89999962
23/05/2002,10,13.89999962,9.899999619,9.899999619,9.899999619,13.89999962
23/05/2002,12,13.89999962,9.899999619,9.899999619,9.899999619,13.89999962
23/05/2002,14,13.89999962,9.899999619,9.899999619,9.899999619,13.89999962
23/05/2002,16,13.80000019,9.699999809,9.699999809,9.699999809,13.80000019
23/05/2002,18,13.69999981,9.300000191,9.300000191,9.300000191,13.69999981
23/05/2002,20,11.69999981,1.399999976,1.399999976,1.399999976,11.69999981
23/05/2002,22,10.89999962,0.899999976,0.899999976,0.899999976,10.89999962
23/05/2002,24,10.69999981,0.699999988,0.699999988,0.699999988,10.69999981
23/05/2002,26,10.5,0.5,0.5,0.5,10.5
23/05/2002,28,10.39999962,0.200000003,0.200000003,0.200000003,10.39999962
23/05/2002,30,10.39999962,0.100000001,0.100000001,0.100000001,10.39999962
23/05/2002,31,10.39999962,0.100000001,0.100000001,0.100000001,10.39999962
11/06/2002,0,11.5,9.899999619,9.899999619,9.899999619,11.5
11/06/2002,2,11.5,9.899999619,9.899999619,9.899999619,11.5
11/06/2002,4,11.5,9.899999619,9.899999619,9.899999619,11.5
11/06/2002,6,11.5,9.800000191,9.800000191,9.800000191,11.5
11/06/2002,8,11.5,9.800000191,9.800000191,9.800000191,11.5
11/06/2002,10,11.5,9.800000191,9.800000191,9.800000191,11.5
11/06/2002,12,11.5,9.600000381,9.600000381,9.600000381,11.5
11/06/2002,14,11.5,9.5,9.5,9.5,11.5
11/06/2002,16,11.5,9.5,9.5,9.5,11.5
11/06/2002,18,11.39999962,9.300000191,9.300000191,9.300000191,11.39999962
11/06/2002,20,11.39999962,9.300000191,9.300000191,9.300000191,11.39999962
11/06/2002,22,11.39999962,9.300000191,9.300000191,9.300000191,11.39999962
11/06/2002,24,11.39999962,9.300000191,9.300000191,9.300000191,11.39999962
11/06/2002,26,11.39999962,8.5,8.5,8.5,11.39999962
11/06/2002,28,11.39999962,8.399999619,8.399999619,8.399999619,11.39999962
11/06/2002,30,11.39999962,8.300000191,8.300000191,8.300000191,11.39999962
25/07/2002,0,10,11.19999981,11.19999981,11.19999981,10
25/07/2002,2,10,11.10000038,11.10000038,11.10000038,10
25/07/2002,4,10,11.10000038,11.10000038,11.10000038,10
25/07/2002,6,10,11,11,11,10
25/07/2002,8,10,11,11,11,10
25/07/2002,10,10,11,11,11,10
25/07/2002,12,10,11,11,11,10
25/07/2002,14,10,10.89999962,10.89999962,10.89999962,10
25/07/2002,16,10,10.89999962,10.89999962,10.89999962,10
25/07/2002,18,9.899999619,10.89999962,10.89999962,10.89999962,9.899999619
25/07/2002,20,9.899999619,10.89999962,10.89999962,10.89999962,9.899999619
25/07/2002,22,9.899999619,10.89999962,10.89999962,10.89999962,9.899999619
25/07/2002,24,9.899999619,10.89999962,10.89999962,10.89999962,9.899999619
25/07/2002,26,9.899999619,10.89999962,10.89999962,10.89999962,9.899999619
25/07/2002,28,9.899999619,10.89999962,10.89999962,10.89999962,9.899999619
25/07/2002,30,9.899999619,10.89999962,10.89999962,10.89999962,9.899999619
21/08/2002,0,9.899999619,11.19999981,11.19999981,11.19999981,9.899999619
21/08/2002,2,9.800000191,11.19999981,11.19999981,11.19999981,9.800000191
21/08/2002,4,9.800000191,11.19999981,11.19999981,11.19999981,9.800000191
21/08/2002,6,9.800000191,11.19999981,11.19999981,11.19999981,9.800000191
21/08/2002,8,9.800000191,11.19999981,11.19999981,11.19999981,9.800000191
21/08/2002,10,9.800000191,11.19999981,11.19999981,11.19999981,9.800000191
21/08/2002,12,9.800000191,11.10000038,11.10000038,11.10000038,9.800000191
21/08/2002,14,9.800000191,11.10000038,11.10000038,11.10000038,9.800000191
21/08/2002,16,9.800000191,11.10000038,11.10000038,11.10000038,9.800000191
21/08/2002,18,9.800000191,11.10000038,11.10000038,11.10000038,9.800000191
21/08/2002,20,9.800000191,11.10000038,11.10000038,11.10000038,9.800000191
21/08/2002,22,9.699999809,11.10000038,11.10000038,11.10000038,9.699999809
21/08/2002,24,9.699999809,11.10000038,11.10000038,11.10000038,9.699999809
21/08/2002,26,9.699999809,11,11,11,9.699999809
21/08/2002,28,9.699999809,11,11,11,9.699999809
21/08/2002,30,9.699999809,10.80000019,10.80000019,10.80000019,9.699999809
25/09/2002,0,11.39999962,11,11,11,11.39999962
25/09/2002,2,11.39999962,11,11,11,11.39999962
25/09/2002,4,11.39999962,11,11,11,11.39999962
25/09/2002,6,11.39999962,11,11,11,11.39999962
25/09/2002,8,11.30000019,10.89999962,10.89999962,10.89999962,11.30000019
25/09/2002,10,11.30000019,10.89999962,10.89999962,10.89999962,11.30000019
25/09/2002,12,11.19999981,10.89999962,10.89999962,10.89999962,11.19999981
25/09/2002,14,11.10000038,10.80000019,10.80000019,10.80000019,11.10000038
25/09/2002,16,11.10000038,10.80000019,10.80000019,10.80000019,11.10000038
25/09/2002,18,10.60000038,10.30000019,10.30000019,10.30000019,10.60000038
25/09/2002,20,10.30000019,10.30000019,10.30000019,10.30000019,10.30000019
25/09/2002,22,10.10000038,10.10000038,10.10000038,10.10000038,10.10000038
25/09/2002,24,10.10000038,10.10000038,10.10000038,10.10000038,10.10000038
25/09/2002,26,9.899999619,9.800000191,9.800000191,9.800000191,9.899999619
25/09/2002,28,9.800000191,9.600000381,9.600000381,9.600000381,9.800000191
25/09/2002,30,9.800000191,9,9,9,9.800000191
24/10/2002,0,14.10000038,10.80000019,10.80000019,10.80000019,14.10000038
24/10/2002,2,13.30000019,10.89999962,10.89999962,10.89999962,13.30000019
24/10/2002,4,13,11,11,11,13
24/10/2002,6,12.89999962,11,11,11,12.89999962
24/10/2002,8,12.80000019,11,11,11,12.80000019
24/10/2002,10,12.80000019,11,11,11,12.80000019
24/10/2002,12,12.69999981,10.89999962,10.89999962,10.89999962,12.69999981
24/10/2002,14,12.60000038,10.80000019,10.80000019,10.80000019,12.60000038
24/10/2002,16,12.39999962,10.69999981,10.69999981,10.69999981,12.39999962
24/10/2002,18,11.60000038,10.19999981,10.19999981,10.19999981,11.60000038
24/10/2002,20,10.89999962,9.399999619,9.399999619,9.399999619,10.89999962
24/10/2002,22,10.5,8.800000191,8.800000191,8.800000191,10.5
24/10/2002,24,10.30000019,8.5,8.5,8.5,10.30000019
24/10/2002,26,10.19999981,8.199999809,8.199999809,8.199999809,10.19999981
24/10/2002,28,10.10000038,7.800000191,7.800000191,7.800000191,10.10000038
24/10/2002,30,10.10000038,7.599999905,7.599999905,7.599999905,10.10000038
22/11/2002,0,15.5,10.5,10.5,10.5,15.5
22/11/2002,2,15.39999962,10.5,10.5,10.5,15.39999962
22/11/2002,4,14.89999962,10.60000038,10.60000038,10.60000038,14.89999962
22/11/2002,6,14.69999981,10.60000038,10.60000038,10.60000038,14.69999981
22/11/2002,8,14.60000038,10.60000038,10.60000038,10.60000038,14.60000038
22/11/2002,10,14.39999962,10.60000038,10.60000038,10.60000038,14.39999962
22/11/2002,12,14.10000038,10.39999962,10.39999962,10.39999962,14.10000038
22/11/2002,14,13.60000038,10,10,10,13.60000038
22/11/2002,16,13.30000019,9.699999809,9.699999809,9.699999809,13.30000019
22/11/2002,18,12.30000019,8.699999809,8.699999809,8.699999809,12.30000019
22/11/2002,20,11.60000038,8.199999809,8.199999809,8.199999809,11.60000038
22/11/2002,22,11.10000038,7.699999809,7.699999809,7.699999809,11.10000038
22/11/2002,24,10.69999981,7.099999905,7.099999905,7.099999905,10.69999981
22/11/2002,26,10.60000038,6.699999809,6.699999809,6.699999809,10.60000038
22/11/2002,28,10.5,6.300000191,6.300000191,6.300000191,10.5
22/11/2002,30,10.39999962,5.699999809,5.699999809,5.699999809,10.39999962
19/12/2002,0,18.29999924,10,10,10,18.29999924
19/12/2002,2,18.20000076,10,10,10,18.20000076
19/12/2002,4,18,10,10,10,18
19/12/2002,6,17.89999962,10,10,10,17.89999962
19/12/2002,8,17.60000038,10,10,10,17.60000038
19/12/2002,10,17,9.399999619,9.399999619,9.399999619,17
19/12/2002,12,15.30000019,9.399999619,9.399999619,9.399999619,15.30000019
19/12/2002,14,13.89999962,9.100000381,9.100000381,9.100000381,13.89999962
19/12/2002,16,13.39999962,9,9,9,13.39999962
19/12/2002,18,12.80000019,8.5,8.5,8.5,12.80000019
19/12/2002,20,12.19999981,7.800000191,7.800000191,7.800000191,12.19999981
19/12/2002,22,11.39999962,7,7,7,11.39999962
19/12/2002,24,11.19999981,6.199999809,6.199999809,6.199999809,11.19999981
19/12/2002,26,11,6,6,6,11
19/12/2002,28,10.69999981,5,5,5,10.69999981
19/12/2002,29,10.60000038,4.300000191,4.300000191,4.300000191,10.60000038
22/01/2003,0,20.89999962,9.5,9.5,9.5,20.89999962
22/01/2003,2,20.89999962,9.5,9.5,9.5,20.89999962
22/01/2003,4,20.70000076,9.600000381,9.600000381,9.600000381,20.70000076
22/01/2003,6,19.89999962,9.899999619,9.899999619,9.899999619,19.89999962
22/01/2003,8,19.20000076,9.800000191,9.800000191,9.800000191,19.20000076
22/01/2003,10,18.89999962,9.600000381,9.600000381,9.600000381,18.89999962
22/01/2003,12,16.79999924,7.800000191,7.800000191,7.800000191,16.79999924
22/01/2003,14,14.30000019,7,7,7,14.30000019
22/01/2003,16,13.39999962,6.900000095,6.900000095,6.900000095,13.39999962
22/01/2003,18,12.89999962,6.400000095,6.400000095,6.400000095,12.89999962
22/01/2003,20,12,5.599999905,5.599999905,5.599999905,12
22/01/2003,22,11.69999981,5.199999809,5.199999809,5.199999809,11.69999981
22/01/2003,24,11.10000038,3.799999952,3.799999952,3.799999952,11.10000038
22/01/2003,26,11,3.599999905,3.599999905,3.599999905,11
22/01/2003,28,11,3.200000048,3.200000048,3.200000048,11
22/01/2003,29,10.89999962,2.599999905,2.599999905,2.599999905,10.89999962
19/02/2003,0,20.70000076,9.699999809,9.699999809,9.699999809,20.70000076
19/02/2003,2,21.10000038,9.5,9.5,9.5,21.10000038
19/02/2003,4,21.20000076,9.5,9.5,9.5,21.20000076
19/02/2003,6,21.20000076,9.5,9.5,9.5,21.20000076
19/02/2003,8,20.70000076,9.300000191,9.300000191,9.300000191,20.70000076
19/02/2003,10,19.39999962,9.100000381,9.100000381,9.100000381,19.39999962
19/02/2003,12,18,7.400000095,7.400000095,7.400000095,18
19/02/2003,14,15.60000038,6.099999905,6.099999905,6.099999905,15.60000038
19/02/2003,16,13.80000019,5.599999905,5.599999905,5.599999905,13.80000019
19/02/2003,18,12.80000019,4.800000191,4.800000191,4.800000191,12.80000019
19/02/2003,20,12.30000019,4.199999809,4.199999809,4.199999809,12.30000019
19/02/2003,22,11.69999981,3.200000048,3.200000048,3.200000048,11.69999981
19/02/2003,24,11.39999962,2.700000048,2.700000048,2.700000048,11.39999962
19/02/2003,26,11.19999981,1.700000048,1.700000048,1.700000048,11.19999981
19/02/2003,28,11,1.200000048,1.200000048,1.200000048,11
19/02/2003,30,10.89999962,0.300000012,0.300000012,0.300000012,10.89999962
19/03/2003,0,18.97999954,8.590000153,8.590000153,8.590000153,18.97999954
19/03/2003,1,18.87999916,5.909999847,5.909999847,5.909999847,18.87999916
19/03/2003,2,18.76000023,7.099999905,7.099999905,7.099999905,18.76000023
19/03/2003,3,18.69000053,7.75,7.75,7.75,18.69000053
19/03/2003,4,18.68000031,7.940000057,7.940000057,7.940000057,18.68000031
19/03/2003,5,18.63999939,8.050000191,8.050000191,8.050000191,18.63999939
19/03/2003,6,18.62999916,8.079999924,8.079999924,8.079999924,18.62999916
19/03/2003,7,18.59000015,8.380000114,8.380000114,8.380000114,18.59000015
19/03/2003,8,18.54000092,8.630000114,8.630000114,8.630000114,18.54000092
19/03/2003,9,18.43000031,8.760000229,8.760000229,8.760000229,18.43000031
19/03/2003,10,18.19000053,8.630000114,8.630000114,8.630000114,18.19000053
19/03/2003,11,18.07999992,8.359999657,8.359999657,8.359999657,18.07999992
19/03/2003,12,17.85000038,8.140000343,8.140000343,8.140000343,17.85000038
19/03/2003,13,15.32999992,7.429999828,7.429999828,7.429999828,15.32999992
19/03/2003,14,14.32999992,6.179999828,6.179999828,6.179999828,14.32999992
19/03/2003,15,13.52999973,5.190000057,5.190000057,5.190000057,13.52999973
19/03/2003,16,13.03999996,4.53000021,4.53000021,4.53000021,13.03999996
19/03/2003,17,12.69999981,4.079999924,4.079999924,4.079999924,12.69999981
19/03/2003,18,12.38000011,3.74000001,3.74000001,3.74000001,12.38000011
19/03/2003,19,11.92000008,3.059999943,3.059999943,3.059999943,11.92000008
19/03/2003,20,11.76000023,2.75999999,2.75999999,2.75999999,11.76000023
19/03/2003,21,11.56000042,2.480000019,2.480000019,2.480000019,11.56000042
19/03/2003,22,11.31000042,2.160000086,2.160000086,2.160000086,11.31000042
19/03/2003,23,11.17000008,1.74000001,1.74000001,1.74000001,11.17000008
19/03/2003,24,11.10999966,1.340000033,1.340000033,1.340000033,11.10999966
19/03/2003,25,11.06999969,1.049999952,1.049999952,1.049999952,11.06999969
19/03/2003,26,11.05000019,0.860000014,0.860000014,0.860000014,11.05000019
